A_pass,A_relative_remainder,O_pass,O_relative_remainder,method,opaque_direction_id,passed,seed,semantic_name
True,0.0,True,0.0,ERM,u005,True,10,source_color_common
True,0.0,True,0.0,ERM,u006,True,10,source_color_contrast
True,0.0,True,0.0,ERM,u007,True,10,color_global
True,0.0,True,0.0,ERM,u008,True,10,color_shift
True,0.0,True,0.0,ERM,u009,True,10,noise_global
True,0.0,True,0.0,ERM,u010,True,10,noise_shift
True,0.0,True,0.0,IRMv1,u005,True,10,source_color_common
True,0.0,True,0.0,IRMv1,u006,True,10,source_color_contrast
True,0.0,True,0.0,IRMv1,u007,True,10,color_global
True,0.0,True,0.0,IRMv1,u008,True,10,color_shift
True,0.0,True,0.0,IRMv1,u009,True,10,noise_global
True,0.0,True,0.0,IRMv1,u010,True,10,noise_shift
True,0.0,True,0.0,VREX,u005,True,10,source_color_common
True,0.0,True,0.0,VREX,u006,True,10,source_color_contrast
True,0.0,True,0.0,VREX,u007,True,10,color_global
True,0.0,True,0.0,VREX,u008,True,10,color_shift
True,0.0,True,0.0,VREX,u009,True,10,noise_global
True,0.0,True,0.0,VREX,u010,True,10,noise_shift
True,0.0,True,0.0,CORAL,u005,True,10,source_color_common
True,0.0,True,0.0,CORAL,u006,True,10,source_color_contrast
True,0.0,True,0.0,CORAL,u007,True,10,color_global
True,0.0,True,0.0,CORAL,u008,True,10,color_shift
True,0.0,True,0.0,CORAL,u009,True,10,noise_global
True,0.0,True,0.0,CORAL,u010,True,10,noise_shift
True,0.0,True,0.0,FISHR,u005,True,10,source_color_common
True,0.0,True,0.0,FISHR,u006,True,10,source_color_contrast
True,0.0,True,0.0,FISHR,u007,True,10,color_global
True,0.0,True,0.0,FISHR,u008,True,10,color_shift
True,0.0,True,0.0,FISHR,u009,True,10,noise_global
True,0.0,True,0.0,FISHR,u010,True,10,noise_shift
True,0.0,True,0.0,MLDG,u005,True,10,source_color_common
True,0.0,True,0.0,MLDG,u006,True,10,source_color_contrast
True,0.0,True,0.0,MLDG,u007,True,10,color_global
True,0.0,True,0.0,MLDG,u008,True,10,color_shift
True,0.0,True,0.0,MLDG,u009,True,10,noise_global
True,0.0,True,0.0,MLDG,u010,True,10,noise_shift
True,0.0,True,0.0,SPECTRAL_NORM_REG,u005,True,10,source_color_common
