batch_schedule_hash,checkpoint_sha256,final_loss,final_penalty,final_risk,finite,hash_matches_reference,initial_parameter_hash,invalid_reason,method,objective_formula_id,optimizer_reset_count,optimizer_state_hash,parameter_hash,path,reference_parameter_hash,seed,target_used_for_training
9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,e86c8b5e012fccce5af3e0d04f719e774c1ec5ef3e23e48352f3dcb42a0aaf2d,0.3848269581794739,0.0,0.3582345247268677,True,True,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,OK,ERM,CPU_MINIMAL_ERM_V1,0,c0e6e15cc7b243fb733f8baf248a07a64ae5c61f6541fe6c0cac0a2231200254,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_10_ERM.pt,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,10,False
9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,81665c57a0e000b0256ab4b8c846dd271f9252e6b48bbdb80e65d518a8509c4f,0.00024136033607646823,0.00016815710114315152,0.6619683504104614,True,True,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,OK,IRMv1,CPU_MINIMAL_IRMV1_V1,0,68ff3220ab87bf51758154aa32582a1e0f9a216a76cd0e615172207bccee86cd,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_10_IRMv1.pt,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,10,False
9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,a574186e3166ac1c82838b20ba9e9a35b4da0199175d5679845029cb88a27c81,7.739070861134678e-05,7.064152214297792e-07,0.6946481466293335,True,True,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,OK,VREX,CMNIST_VREX_ANNEALED_V1,1,c346d9806cd573aa165c7fbc280d660e97ebeb94def678909e25d1b37d1e0227,657e7f792802ec8aa2f31d92d9652713c3a3fece545554f224cebfcb45d73b56,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_10_VREX.pt,,10,False
9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,9e5a3dee995896033f3cc6065404b3fef86d1e03a1d27ab5bdcfec20fa4f510c,0.38504064083099365,0.00023071435862220824,0.35833632946014404,True,True,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,OK,CORAL,CMNIST_REPRESENTATION_CORAL_V1,0,375ae4804ed3dc91c753b1c2e9a6014946a7c1aa3bc1509ab57ad86e4d94949b,fbcce304d2a6ad453e891ad0feeae1d7fff81ec3f346f003af50b4824e6bc1ed,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_10_CORAL.pt,,10,False
f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,85800343f2d110eeb8b2a1389368a1b92ca4d2d2056737a21b99004b0011cc84,0.4018375873565674,0.0,0.3755156993865967,True,True,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,OK,ERM,CPU_MINIMAL_ERM_V1,0,ebbb31035592c9f6094109fb6626f97c2438b4c43b9ec3bf52376d2e1ef20960,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_11_ERM.pt,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,11,False
f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,e991a9ffc4221e97eebad01d04414589c91d94975f2922cabee90d1de518aa5e,0.0001269979984499514,5.572421650867909e-05,0.6407160758972168,True,True,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,OK,IRMv1,CPU_MINIMAL_IRMV1_V1,0,f5734fe0a341bef33c076a706caa620932a2418ac27c5fb262a16ee91391f798,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_11_IRMv1.pt,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,11,False
f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,0694a86a6d92e5a51aed2eee8c3cf223664e77e2485d040946d244b95ddd08be,0.0001414798607584089,6.688643770758063e-05,0.6718113422393799,True,True,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,OK,VREX,CMNIST_VREX_ANNEALED_V1,1,29fc90adbd8a6783e100a57289eddc6328f9c94c82391d4fd1d5fffc125f37ca,fa68e42e608b6af65d8a281dc10abad7536762f5bb4119fc948c29853612d80b,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_11_VREX.pt,,11,False
f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,3f274c3c469cff849748a1e262efd5b7241ceed7837e3dc9d5bb00f7e93236e7,0.4019392132759094,0.00016385840717703104,0.37551432847976685,True,True,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,OK,CORAL,CMNIST_REPRESENTATION_CORAL_V1,0,27ae861adb1e7c7f68eea64bd12e7ac3d0712676d969d8a239ac0a6ae3938191,33f40ca57bf90dee5c750dab912feeb90ee22964e83964cd53db6114ef167944,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_11_CORAL.pt,,11,False
fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,3303dd7e1469386b0a452908a5c7b7941bd52a15aedf062e20d649087da8f1bb,0.3962083160877228,0.0,0.36826369166374207,True,True,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,OK,ERM,CPU_MINIMAL_ERM_V1,0,e7afab80f53f8e4c3f3f8fbf78fa24b6105be20d9a70e3ea7a449ffc1c68c076,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_12_ERM.pt,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,12,False
fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,68e3c6ea3dccc583738ca6f88136238dd184a4f7cd99e639de9d556a3c248a15,0.00028396028210408986,0.00021142562036402524,0.6546291708946228,True,True,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,OK,IRMv1,CPU_MINIMAL_IRMV1_V1,0,863d48486ea7bc901863e5688832a3d24e5fa3fa1bf88dcaa2aea2557bfb4f0e,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,round3_redesign/task3_aopi_multimethod_mechanism_survey/results/checkpoints/seed_12_IRMv1.pt,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,12,False
