basis_index,opaque_direction_id,semantic_name,vector
0,u000,source_env0_color,"[1.0, 0.0, 0.0, 0.0, 0.0]"
1,u001,source_env1_color,"[0.0, 1.0, 0.0, 0.0, 0.0]"
2,u002,evaluation_color,"[0.0, 0.0, 1.0, 0.0, 0.0]"
3,u003,source_label_noise,"[0.0, 0.0, 0.0, 1.0, 0.0]"
4,u004,evaluation_label_noise,"[0.0, 0.0, 0.0, 0.0, 1.0]"
-1,u005,source_color_common,"[0.7071067811865476, 0.7071067811865476, 0.0, 0.0, 0.0]"
-1,u006,source_color_contrast,"[0.7071067811865476, -0.7071067811865476, 0.0, 0.0, 0.0]"
-1,u007,color_global,"[0.5, 0.5, 0.7071067811865476, 0.0, 0.0]"
-1,u008,color_shift,"[-0.5, -0.5, 0.7071067811865476, 0.0, 0.0]"
-1,u009,noise_global,"[0.0, 0.0, 0.0, 0.7071067811865476, 0.7071067811865476]"
-1,u010,noise_shift,"[0.0, 0.0, 0.0, -0.7071067811865476, 0.7071067811865476]"
