diagnostic_only,frobenius_norm,linear_index,method,module,nuclear_norm,penalized_by_weight_nuclear,seed,singular_value_max,singular_value_min,stable_rank,stage
True,10.483152920439583,0,ERM,encoder.0,82.1072861934736,True,10,1.8021935966633655,0.8008436826862213,33.83615123822118,initial
True,8.05896807071052,1,ERM,encoder.2,54.68550844699822,True,10,1.981759937892284,0.01232333255569884,16.537002071449507,initial
True,1.3738048796587103,2,ERM,head,1.3738048796587101,False,10,1.3738048796587101,1.3738048796587101,1.0000000000000004,initial
True,3.395696381224793,0,ERM,encoder.0,22.27565328857144,True,10,1.1541505456689976,0.05009860731263372,8.65630960437517,final
True,3.3029065611759645,1,ERM,encoder.2,15.367221737471514,True,10,2.261547852114405,0.0002688619198984743,2.1329516583045756,final
True,1.855098327274487,2,ERM,head,1.8550983272744872,False,10,1.8550983272744872,1.8550983272744872,0.9999999999999999,final
True,10.483152920439583,0,IRMv1,encoder.0,82.1072861934736,True,10,1.8021935966633655,0.8008436826862213,33.83615123822118,initial
True,8.05896807071052,1,IRMv1,encoder.2,54.68550844699822,True,10,1.981759937892284,0.01232333255569884,16.537002071449507,initial
True,1.3738048796587103,2,IRMv1,head,1.3738048796587101,False,10,1.3738048796587101,1.3738048796587101,1.0000000000000004,initial
True,5.605856885436255,0,IRMv1,encoder.0,41.76865132727401,True,10,1.5206583964402476,0.29953534802163645,13.590038402383122,final
True,6.047936135052233,1,IRMv1,encoder.2,40.189391023382534,True,10,1.6058737328854105,0.0020074689316797747,14.183767510117754,final
True,1.4051256276203075,2,IRMv1,head,1.4051256276203075,False,10,1.4051256276203075,1.4051256276203075,1.0000000000000002,final
True,10.483152920439583,0,VREX,encoder.0,82.1072861934736,True,10,1.8021935966633655,0.8008436826862213,33.83615123822118,initial
True,8.05896807071052,1,VREX,encoder.2,54.68550844699822,True,10,1.981759937892284,0.01232333255569884,16.537002071449507,initial
True,1.3738048796587103,2,VREX,head,1.3738048796587101,False,10,1.3738048796587101,1.3738048796587101,1.0000000000000004,initial
True,5.741729047509914,0,VREX,encoder.0,43.296464748470086,True,10,1.310541256996155,0.30978863031672793,19.194817777904344,final
True,6.112745591842555,1,VREX,encoder.2,40.72847367900151,True,10,1.5576135046453563,0.0012958299409573236,15.401152970554916,final
True,1.3492623834838275,2,VREX,head,1.3492623834838275,False,10,1.3492623834838275,1.3492623834838275,1.0000000000000002,final
True,10.483152920439583,0,CORAL,encoder.0,82.1072861934736,True,10,1.8021935966633655,0.8008436826862213,33.83615123822118,initial
True,8.05896807071052,1,CORAL,encoder.2,54.68550844699822,True,10,1.981759937892284,0.01232333255569884,16.537002071449507,initial
True,1.3738048796587103,2,CORAL,head,1.3738048796587101,False,10,1.3738048796587101,1.3738048796587101,1.0000000000000004,initial
True,3.3851975149088434,0,CORAL,encoder.0,22.247998229818815,True,10,1.1511972740303562,0.053530218913167796,8.647060980052172,final
True,3.2908036473322198,1,CORAL,encoder.2,15.294716820557051,True,10,2.2598206770268447,7.410293120806949e-05,2.120586458788879,final
True,1.8636612306081495,2,CORAL,head,1.8636612306081495,False,10,1.8636612306081495,1.8636612306081495,1.0000000000000002,final
True,10.483152920439583,0,FISHR,encoder.0,82.1072861934736,True,10,1.8021935966633655,0.8008436826862213,33.83615123822118,initial
True,8.05896807071052,1,FISHR,encoder.2,54.68550844699822,True,10,1.981759937892284,0.01232333255569884,16.537002071449507,initial
