checkpoint,condition_number_eps1e12,cumulative_explained_spectral_mass,effective_rank,frobenius_norm,linear_index,method,module,nuclear_norm,numerical_rank_1e2,numerical_rank_1e3,numerical_rank_1e4,seed,singular_values,spectral_norm,stable_rank,top1_spectral_mass,top5_spectral_mass,variant
0,2.2503687493898648,"[0.0219492529861085, 0.043442687675388426, 0.06438192912246037, 0.0852354975341233, 0.10578268793938059, 0.1259099607361463, 0.1459511619092426, 0.1657863370952181, 0.18547019802175635, 0.20504746887572786, 0.22429584777635386, 0.24338192783911988, 0.26221876730890886, 0.2809337529623084, 0.29959318476013524, 0.3180014284454629, 0.3362805958085997, 0.3544300239629044, 0.37249291465042006, 0.39027224837836144, 0.40800562842880367, 0.4255627012398676, 0.4426856215299571, 0.45975616261327545, 0.4765890340191296, 0.4930769815803816, 0.5093774714687617, 0.5255349844748032, 0.5415872475323008, 0.5574363859320014, 0.5732111956274067, 0.5889524209749961, 0.6045558102415477, 0.6199437002165858, 0.6349906710290909, 0.649981904759701, 0.664639210742345, 0.6792203808228772, 0.6937104701939988, 0.7079218912718257, 0.7220329573045335, 0.7359482604300692, 0.7498050722867523, 0.7634659782475558, 0.7770664083631892, 0.7902693816958875, 0.8034482921485717, 0.8165280696788798, 0.8293125252521286, 0.841931084029628, 0.8544382547743522, 0.8668751790864526, 0.8791218624521961, 0.8911823805368928, 0.9030223395596975, 0.9146254840621663, 0.9261083687674747, 0.937172702696013, 0.9481254359330795, 0.9590358091483604, 0.9696793563621161, 0.9800989475980848, 0.9902463749587442, 1.0]",62.6162682866142,10.48315292043951,0,ERM,encoder.0,82.1072861934736,64,64,64,10,"[1.8021935966633655, 1.7647675933134404, 1.7192642901689796, 1.712229909731589, 1.6870740430762547, 1.6525957478181574, 1.6455286403803973, 1.6286124056925766, 1.6161884024878082, 1.6074365808941886, 1.5804321551541183, 1.567106238025079, 1.546641769326484, 1.5366366831504288, 1.532075306831772, 1.5114509325904018, 1.500852826063472, 1.4902002917133825, 1.4830949351612772, 1.4598128427293606, 1.4560397109792973, 1.4415636020176796, 1.4059165167264125, 1.4016158022054674, 1.382101389978404, 1.3537806291547023, 1.3383889883590465, 1.3266495445618234, 1.3180077569148838, 1.3013297425041914, 1.2952268143082304, 1.2924692946504783, 1.281151948096925, 1.2634578860941381, 1.2354659388471958, 1.230889518312456, 1.2034716171422704, 1.1972203048379697, 1.1897419149636923, 1.1668612176531, 1.158621337242547, 1.1425477761972953, 1.137745216845793, 1.1216599153858189, 1.116694407858644, 1.0840603100326585, 1.0820845722567087, 1.0739450370279695, 1.0496969525804853, 1.036075616893316, 1.0269298478077118, 1.0211621038602001, 1.0055419360319595, 0.9902564100217564, 0.9721469040044209, 0.9527027064084391, 0.9428285008254189, 0.9084624324106529, 0.8992992024965841, 0.895821136064676, 0.8739127771935857, 0.8555243596306925, 0.8331777224291487, 0.8008436826862213]",1.8021935966633655,33.83615123822116,0.0219492529861085,0.10578268793938057,ERM_CANONICAL
0,160.8136377830551,"[0.03623921572957536, 0.07052774829436043, 0.10445673568525525, 0.13739197782883533, 0.16853154826140682, 0.19876940280195898, 0.22870178437397015, 0.257368357123209, 0.285317742458213, 0.31245185376950335, 0.3388604977612285, 0.36474195252280334, 0.38986488271840936, 0.4143752116668797, 0.4377615711670208, 0.46077997096121553, 0.4831581493035693, 0.5052280338364674, 0.5271168494730125, 0.5485864638462155, 0.5694522483629211, 0.58954784230417, 0.6093478159241468, 0.6287596800986333, 0.6475554468824574, 0.6655673912986405, 0.6832189009547335, 0.7005685733503433, 0.7174022224161681, 0.7332019508142946, 0.7488804825788876, 0.7642937229962941, 0.7790197623832518, 0.7933584152808806, 0.8072749807978747, 0.8209116824130828, 0.8338946927246034, 0.8463482158390404, 0.8580072418774561, 0.8690902988701228, 0.8801210252909446, 0.8908206827678281, 0.9008790591823831, 0.9107186286683853, 0.9192595096835735, 0.9276327703491559, 0.9356078750480842, 0.9430176524271137, 0.9501354520562798, 0.9563595248335898, 0.9623017430049021, 0.9679023050555563, 0.9728988463861, 0.9777072109604961, 0.9819412796699235, 0.9859676449107297, 0.9898112437581879, 0.9930074014854757, 0.9956388200113879, 0.9969843760992183, 0.99816467995808, 0.9991565012438032, 0.9997746508553055, 0.9999999999999997]",51.429629100421856,8.058968070710511,1,ERM,encoder.2,54.68550844699822,63,64,64,10,"[1.981759937892284, 1.875085837206727, 1.855423926562875, 1.8010804624466799, 1.7028832419262838, 1.6535724498964692, 1.6368675052949913, 1.5676461062249905, 1.5284263478257714, 1.4838426733153587, 1.4441701240832563, 1.4153405129847023, 1.3738602114251608, 1.3403598007502802, 1.2788949599895045, 1.258772896381818, 1.2237620607692212, 1.2069028570480729, 1.197001012387074, 1.1740767781595818, 1.1410560354415527, 1.0989377722216174, 1.082771624645579, 1.0615476622858604, 1.0278560632246192, 0.9849923385180448, 0.9652817804005449, 0.9487756563427745, 0.9205566581829682, 0.8640161807760236, 0.8573884812491784, 0.8428808890416949, 0.8053009512863056, 0.7841165241518546, 0.7610344611327896, 0.7457299613676548, 0.7099825200581239, 0.6810272434694364, 0.6375797669075536, 0.6060826067910354, 0.6032208828623762, 0.5851162093321024, 0.5500474283812318, 0.5380818602415974, 0.4670624209008809, 0.45789601685662246, 0.4361226553789393, 0.40520744345129517, 0.3892404917448084, 0.3403665844383144, 0.3249532220012085, 0.3062695833289885, 0.2732384031372231, 0.26294786154938166, 0.23154220017456775, 0.22018383038681158, 0.21018915723954404, 0.17478351039354253, 0.14390046002635806, 0.07358241880696097, 0.06454551664380859, 0.05423825129832514, 0.03380382580131902, 0.01232333255569884]",1.981759937892284,16.537002071449507,0.03623921572957536,0.1685315482614068,ERM_CANONICAL
0,1.0,[1.0],1.0,1.3738048796587101,2,ERM,head,1.3738048796587101,1,1,1,10,[1.3738048796587101],1.3738048796587101,1.0,1.0,1.0,ERM_CANONICAL
100,4.81172809671673,"[0.03677348725507496, 0.06601488475880167, 0.09110160777536097, 0.11603790343166584, 0.13979066594994946, 0.16313410827671768, 0.18616059619374264, 0.20859337733162456, 0.23059957176857535, 0.2525212590687304, 0.27384484271812254, 0.29449138011651116, 0.3150626535784683, 0.3352826237340521, 0.3553826872465921, 0.3747886542072469, 0.3936535929217077, 0.4121731295034369, 0.43058430381055096, 0.44867930239931536, 0.4666747761934021, 0.48434433288600537, 0.5017687837460327, 0.5190984255346405, 0.5363005560252668, 0.5529121134248485, 0.5694376295847021, 0.5857048526488103, 0.601604895457047, 0.6171178733038366, 0.632326566369159, 0.6474169222319125, 0.6622340038645994, 0.6768231595840968, 0.6913380868926284, 0.7053626432084615, 0.7191221347316775, 0.732538239686101, 0.7457879717429534, 0.7586320455818226, 0.771211213435224, 0.7834291704446232, 0.7955739122297588, 0.8075799766924098, 0.8193235851343316, 0.8306633048883527, 0.8416864725664086, 0.8525061429160239, 0.8632449484227365, 0.8737375397475236, 0.8841788106476822, 0.894419234061151, 0.9042656498787841, 0.913933197558657, 0.9234446543728597, 0.9326989594632213, 0.941919319464755, 0.9507228043391489, 0.959469414751007, 0.9681572935529457, 0.9764329201624903, 0.9845323201049064, 0.9923575300773609, 1.0]",59.98632762776962,5.697422943164036,0,ERM,encoder.0,42.75844707287091,64,64,64,10,"[1.5723772084810157, 1.2503167474998778, 1.0726693183353233, 1.0662372780135727, 1.0156312389725026, 0.9981293432277332, 0.9845768648742131, 0.9591908849814204, 0.9409507001076662, 0.9373373061717066, 0.9117633228764687, 0.8828138765870491, 0.8795957075446493, 0.8645745237125598, 0.8594475018622858, 0.8297690111850392, 0.8066354835552257, 0.7918666247439633, 0.7872332221601394, 0.7737140394413554, 0.7694585137756924, 0.7555228046417687, 0.7450424598723177, 0.7409885712099956, 0.7355363861240649, 0.710284397867967, 0.7066054080729738, 0.695561196409258, 0.679861138872366, 0.6633108422045746, 0.6503000974811234, 0.6452401824683333, 0.6335554007656513, 0.6238096426700023, 0.6206357510884195, 0.5996682489510455, 0.5883344900450456, 0.5736518136177962, 0.5665379668826458, 0.5491926514393337, 0.5378656828804242, 0.5224208681250085, 0.5192902988334039, 0.5133606718797349, 0.5021384600084337, 0.48486880692350415, 0.471333531737533, 0.4626323019899381, 0.45917464688462384, 0.4486469108181705, 0.4464525291579421, 0.43786460252859283, 0.42101744959574283, 0.4133693257943013, 0.4066951227759835, 0.3956997144024276, 0.3942482751183957, 0.37642334205859024, 0.37399147836245505, 0.3714802059282103, 0.353852942379057, 0.34631776375981493, 0.33459382644129865, 0.3267801456931706]",1.5723772084810157,13.129356474735738,0.03677348725507496,0.13979066594994946,ERM_CANONICAL
100,368.4109114189116,"[0.0410019737919626, 0.07863447597564813, 0.11363409002420216, 0.1461062812206906, 0.17813755529030523, 0.2095347942986377, 0.23991925970385902, 0.26918922330560113, 0.2981651650260019, 0.3262172662781745, 0.35382595030227354, 0.3803772004067955, 0.40600865934878805, 0.4311557498349344, 0.4558272557887925, 0.4794768141043071, 0.5027048699244985, 0.5253531466109496, 0.5476444982958845, 0.5694921522316474, 0.5909256937996475, 0.6113358813044574, 0.6311635746536559, 0.6503662296063502, 0.6690517486553773, 0.687120486976877, 0.7047716511483458, 0.7213904558375347, 0.7373327868691123, 0.7531750821078707, 0.7680548639577166, 0.782028179280295, 0.795872018538039, 0.8093531402907785, 0.8226821099268027, 0.8356421226532458, 0.8474256103491142, 0.8589557377711414, 0.870084699113635, 0.8805366082874524, 0.8906827176184594, 0.9002581139567035, 0.9097823529073465, 0.918634844757672, 0.9270417996363701, 0.9346696244521969, 0.9417587288951993, 0.9484154892062493, 0.9545283182254842, 0.9604486858063003, 0.9657149196425555, 0.9706399640051857, 0.9753191760411594, 0.9799020636116867, 0.9842251126914057, 0.9877641905873698, 0.991197503113652, 0.9938914403225446, 0.996558576337593, 0.9977711656019279, 0.9986412280242865, 0.9992830192818564, 0.9998887058647801, 1.0]",50.06799176973847,6.134396637945444,1,ERM,encoder.2,40.79812280394923,63,64,64,10,"[1.6728035619687978, 1.53533544550989, 1.427918552043734, 1.3248044441476545, 1.3068158530590916, 1.2809484127668924, 1.239629150934566, 1.1941595694909988, 1.1821640286689843, 1.1444730717949565, 1.126382481270625, 1.083241162362657, 1.0457154095597951, 1.0259540858158214, 1.006551129663869, 0.9648575844155228, 0.9476610738491538, 0.9240071735516525, 0.9094453035079935, 0.8913432682494398, 0.8744482610148209, 0.8326973362728631, 0.8089326681796509, 0.7834322749218815, 0.762334100817743, 0.7371706049529655, 0.7201343635002561, 0.6780160345643732, 0.6504171792075147, 0.6463359066472844, 0.6070671672059896, 0.5700850345088583, 0.5648026541155723, 0.5500044608032584, 0.5437969400606252, 0.5287441907541702, 0.48074417807486625, 0.47040755450904825, 0.45404073153145386, 0.4264182740091262, 0.41394221446872, 0.3906581957041708, 0.38857107032248944, 0.3611650496305355, 0.34298797754838556, 0.3112009335631118, 0.2892221536356326, 0.27158332464667534, 0.2493919490062898, 0.2415398836066545, 0.21485245476585538, 0.2009325647214857, 0.19090306726937195, 0.18697320989906765, 0.17637228724187345, 0.1443877346122868, 0.14007270607159722, 0.10990758107452951, 0.10881414267677922, 0.04947136571708582, 0.035496913554484824, 0.02618387854083699, 0.024710875590825278, 0.0045405917960629864]",1.6728035619687978,13.447879755913137,0.0410019737919626,0.17813755529030526,ERM_CANONICAL
100,1.0,[1.0],1.0,1.433363362413607,2,ERM,head,1.433363362413607,1,1,1,10,[1.433363362413607],1.433363362413607,1.0,1.0,1.0,ERM_CANONICAL
200,10.106897405088693,"[0.04856272388013631, 0.08437765888312274, 0.11510409305129306, 0.14270990591744823, 0.16984959122742588, 0.19569507456430407, 0.22083291523033857, 0.24558717689126788, 0.26907616555675284, 0.29220102907509576, 0.3152067940850972, 0.3374443358800124, 0.35898776616315653, 0.37996378926768704, 0.4005428304299969, 0.42062496980912667, 0.44046994886927543, 0.4599324906747837, 0.4790259581112281, 0.4977967974453211, 0.5158250985367848, 0.533601540078838, 0.551197939492672, 0.5681656984293993, 0.5846188945173446, 0.600850195481114, 0.616862119763733, 0.6324000689815896, 0.6478543725626533, 0.663093488113495, 0.6779287610874102, 0.6923734945711891, 0.7066484477532444, 0.7205233128017686, 0.7341828562937099, 0.7473068113719493, 0.7602185169420724, 0.7728020665133487, 0.7852040892440096, 0.7972971137402519, 0.8090835519456223, 0.8202439901736204, 0.8311452083287488, 0.8419417345832502, 0.8525991279244318, 0.8630868124445435, 0.8731147861290842, 0.8827987377966376, 0.8922956534333958, 0.9013726923358437, 0.9102384548972999, 0.918940078204568, 0.9274488012401407, 0.9352958008770089, 0.9430275245896018, 0.9505230962006644, 0.9579169787872142, 0.9648453013260996, 0.9714687497723612, 0.9780101557620867, 0.9842569246835187, 0.9899995134382289, 0.9951950908440323, 1.0]",56.847369173764314,4.348512288622324,0,ERM,encoder.0,30.995436014932427,64,64,64,10,"[1.505222800737596, 1.1100995262640296, 0.9523792242265567, 0.8556542063331108, 0.8412063794908142, 0.8010920250432103, 0.7791583319176384, 0.7672691334082294, 0.7280514452365119, 0.7167652275368432, 0.7130737173420721, 0.6892623038336786, 0.6677480148833529, 0.6501609819842189, 0.6378563535950363, 0.6224546661687724, 0.615103778676514, 0.6032499692205785, 0.5918103482295084, 0.5818103495264577, 0.5587950529384009, 0.5509885563898944, 0.545408072124687, 0.5259230864401292, 0.5099739865850452, 0.503096250461623, 0.49629657457785903, 0.48160551078534575, 0.47901287780220075, 0.47234303098027547, 0.459825754227044, 0.4477208124492223, 0.44245839797055114, 0.4300574918273524, 0.4233835062976528, 0.40678270989041604, 0.4002039438423963, 0.3900326055772239, 0.38440610200393743, 0.3748285670002878, 0.36532579123851344, 0.34592264899451847, 0.3378880098121046, 0.33464303870493495, 0.33033055339256423, 0.325070354487921, 0.3108214166986051, 0.30015830428335166, 0.2943610409583493, 0.2813467785058787, 0.27479817619719915, 0.2697106084464741, 0.26373158041787637, 0.24322117515374736, 0.23964814761880746, 0.23232851026603404, 0.22917661461332403, 0.2147463779448361, 0.2052966725143059, 0.20275373080223486, 0.19362132640431245, 0.17799404230669036, 0.16103918704220832, 0.14893025430135817]",1.505222800737596,8.34602779728345,0.04856272388013631,0.1698495912274259,ERM_CANONICAL
200,280.9951383635685,"[0.055950282575184807, 0.09915638717495931, 0.13877072195765291, 0.1754506121211213, 0.20995594604319173, 0.24341472838381856, 0.2757533454044235, 0.3070858348813642, 0.33724306200572574, 0.3658962663907802, 0.39447112079033647, 0.4225094616446668, 0.4491409229215887, 0.47483314640739704, 0.49972868380096963, 0.5237002945922501, 0.547334502873014, 0.5701839718666154, 0.592080424780045, 0.613513186425046, 0.6342473304392742, 0.6544870764620755, 0.6743089012478011, 0.6933093739566808, 0.7116177827607655, 0.7293372068386018, 0.7461169808573661, 0.7622555147686343, 0.7779022759434653, 0.7925514907866997, 0.8057061117350762, 0.818638770191385, 0.8312925689185, 0.8435692955751029, 0.8551363652452255, 0.8662870439693563, 0.8770175743494065, 0.8871370107442068, 0.8965705481231492, 0.9057751888440586, 0.9143165819935509, 0.9224389112732199, 0.9299047718311138, 0.9366278233670668, 0.9432815921959644, 0.949530094173125, 0.9553194144461902, 0.9605956147781776, 0.9656594511351332, 0.9702698198719465, 0.974415065329465, 0.9784361966400886, 0.9821767358291764, 0.9854631539105461, 0.9881957472799825, 0.9906791061300042, 0.992966453894582, 0.994908149412973, 0.996568331203839, 0.9977222351403559, 0.9985433329676511, 0.9993468817975999, 0.9998008852291855, 0.9999999999999998]",46.72266618623664,4.79174212379024,1,ERM,encoder.2,30.168145766564656,62,64,64,10,"[1.6879162804086578, 1.3034480615714368, 1.1950910261697933, 1.106564273153096, 1.040961943485009, 1.0093894228237899, 0.9755961121667175, 0.9452431097697014, 0.9097876238031369, 0.8644140465674933, 0.8620503727841744, 0.8458647539460615, 0.8034218057788011, 0.7750867431870219, 0.7510522010262582, 0.723179048610704, 0.7130002404914335, 0.6893261112875662, 0.6605753832630629, 0.646586677486428, 0.6255106789661767, 0.6105956082941169, 0.5979876994950741, 0.573209030315118, 0.552330745555484, 0.5345621684797409, 0.5062146685280949, 0.48686964349378403, 0.47203377189692697, 0.4419396487564211, 0.39685052227452655, 0.39015432545911655, 0.38174164450037706, 0.37036607931266574, 0.3489570439002692, 0.33639530114570937, 0.32372020465790696, 0.3052846322338132, 0.28459233074227036, 0.277686942997254, 0.25767799358342075, 0.2450356136730902, 0.2252311695833891, 0.20282199873276005, 0.20073186792720693, 0.18850571846964584, 0.17465305788716062, 0.15917318070899406, 0.15276655335466752, 0.1390862760897977, 0.12505436920060917, 0.12131007552539137, 0.11284513150194639, 0.09914513972863481, 0.08243727508990467, 0.07491833177814176, 0.06900504078060879, 0.05857735343310312, 0.05008460626584167, 0.034811142157452006, 0.02477099894245288, 0.024241578232447575, 0.013696441702597014, 0.006006923430200879]",1.6879162804086578,8.059072656471622,0.055950282575184807,0.20995594604319176,ERM_CANONICAL
200,1.0,[1.0],1.0,1.535241267854557,2,ERM,head,1.535241267854557,1,1,1,10,[1.535241267854557],1.535241267854557,1.0,1.0,1.0,ERM_CANONICAL
300,15.38340177331632,"[0.05248290350830056, 0.09178328783773146, 0.12832619477434162, 0.16063896622607382, 0.19046542445287026, 0.21788218803002973, 0.24469585579419056, 0.2701209102483901, 0.29506156174251, 0.3189470353127903, 0.3422495665036017, 0.3652389071023292, 0.38721587149236225, 0.4086253826739221, 0.42984711377734897, 0.4502726684343465, 0.47019141349448845, 0.48978142974405103, 0.5090157166080834, 0.5276014370368982, 0.545935946682206, 0.5636974051663546, 0.5808169944996423, 0.5975719026731512, 0.6140377776142213, 0.6301151152556039, 0.6459044409030383, 0.6613067024678212, 0.6764541597574656, 0.691199651175385, 0.7053858333447288, 0.7192549255464423, 0.7327365535798045, 0.7460691336651485, 0.7590874265262904, 0.7719515301712198, 0.7842024103687212, 0.796152895029615, 0.8080438765844512, 0.8195540500989171, 0.8307964968503473, 0.8416226266663602, 0.8519952933460523, 0.8621862709801102, 0.8722596552204113, 0.8817620436102288, 0.8910621392792717, 0.9000662900544381, 0.908790160914827, 0.917215044068788, 0.9252706258265228, 0.9328652541618878, 0.9403456700244105, 0.9473160714518989, 0.95409611728922, 0.9606616830287681, 0.9670447449113764, 0.9729683272669838, 0.9786133107946382, 0.983938321661489, 0.9887201984004633, 0.9927910749726343, 0.9965883421442363, 0.9999999999999998]",54.64131802008314,3.795545456005014,0,ERM,encoder.0,26.144126728923666,64,64,64,10,"[1.3721196804228823, 1.027474228404047, 0.9553823899939996, 0.8447891917968332, 0.7797867037563139, 0.7167873414581961, 0.7010199280934761, 0.6647158457403768, 0.6520515533641913, 0.6244648480017643, 0.6092243285572707, 0.6010362340275207, 0.5745685421300674, 0.5597329735350094, 0.5548236273751331, 0.5340082894611003, 0.5207581951334731, 0.5121638674502387, 0.5028636333137351, 0.48590743023927824, 0.4793397436796013, 0.4643578215000956, 0.4475767130766031, 0.4380424426196944, 0.43048592116194395, 0.4203279527600019, 0.4127981306907686, 0.40267867826171216, 0.39601704300142176, 0.38550799631034016, 0.370885344434924, 0.3625953041367258, 0.3524653918164306, 0.34856866337475756, 0.34035189835593493, 0.3363207559470446, 0.32028856442433973, 0.31243498544646414, 0.31087932870093354, 0.3009234350340988, 0.29392395261256515, 0.2830397098936224, 0.2711843121907538, 0.2664342107564366, 0.26335983416757225, 0.24843164629084372, 0.24314287976257162, 0.2354056589522864, 0.22807798534077245, 0.22026121285352843, 0.21060615034942323, 0.19855492565885982, 0.19556894029484517, 0.1822350582717274, 0.17725837759883326, 0.17165098274182625, 0.16687957877747378, 0.15486688779421742, 0.14758316472968377, 0.13921775893584215, 0.12501799146583856, 0.10642951300064317, 0.0992762341579443, 0.08919481533680855]",1.3721196804228823,7.651814039908444,0.05248290350830056,0.19046542445287024,ERM_CANONICAL
