analysis_label,auc,balanced_accuracy,benchmark,brier,cv_r2,feature_set,fold_count,grouped_interval_high,grouped_interval_low,mae,metric_primary,n_rows,rank_correlation,test
observed,,,cmnist,,0.48514242977473754,B0,5,0.5129045344032461,0.3994298489043226,0.491011304870644,cv_r2,3300,0.5877090787611643,finite_risk_prediction
observed,1.0,1.0,cmnist,1.0477110670030177e-05,,B0,5,1.0,1.0,,auc,2970,,win_loss_discrimination
observed,,,cmnist,,0.9107520194934643,B1,5,0.9454750958960482,0.8343550217615746,0.1448049518009705,cv_r2,3300,0.5668333042421434,finite_risk_prediction
observed,1.0,1.0,cmnist,1.9687673926642654e-05,,B1,5,1.0,1.0,,auc,2970,,win_loss_discrimination
observed,,,cmnist,,0.6338505449039193,B2,5,0.8250541353223553,0.34780113484480263,0.32700847871447464,cv_r2,3300,0.3811640019434346,finite_risk_prediction
observed,1.0,1.0,cmnist,1.3009500920683775e-05,,B2,5,1.0,1.0,,auc,2970,,win_loss_discrimination
observed,,,cmnist,,0.7630624715578259,B3,5,0.8267377190861399,0.607645226800294,0.30956300441523893,cv_r2,3300,0.4092115697581374,finite_risk_prediction
observed,1.0,1.0,cmnist,1.018159440212174e-05,,B3,5,1.0,1.0,,auc,2970,,win_loss_discrimination
observed,,,gaussian,,0.03496960872692112,B0,2,0.03496960872692112,0.03496960872692112,0.0001114950979613031,cv_r2,960,0.219253927141848,finite_risk_prediction
observed,0.5871323529411765,0.5,gaussian,0.22855393770239724,,B0,2,0.5871323529411765,0.5871323529411765,,auc,864,,win_loss_discrimination
observed,,,gaussian,,0.07530757260744159,B1,2,0.07530757260744159,0.07530757260744159,6.862436947761957e-05,cv_r2,960,0.03426414308175247,finite_risk_prediction
observed,0.5915441176470588,0.5,gaussian,0.22714207578894302,,B1,2,0.5915441176470588,0.5915441176470588,,auc,864,,win_loss_discrimination
observed,,,gaussian,,-0.8029057584806882,B2,2,-0.627659750142316,-0.9781517668190602,0.0003473326143356683,cv_r2,960,0.04022508704979063,finite_risk_prediction
observed,0.5915441176470588,0.5,gaussian,0.2274620144826849,,B2,2,0.5915441176470588,0.5915441176470588,,auc,864,,win_loss_discrimination
observed,,,gaussian,,-3808584160690041.0,B3,2,-0.48500150495288175,-7617168321380082.0,14543.640600533203,cv_r2,960,0.0481066060184527,finite_risk_prediction
observed,0.5228860294117647,0.5,gaussian,0.4289678217921676,,B3,2,0.5915441176470588,0.5,,auc,864,,win_loss_discrimination
