seed,method,checkpoint_source,path,checkpoint_sha256,parameter_hash,config_sha256,git_commit,initial_parameter_hash,batch_schedule_hash,reconciliation_status,reconciliation_max_abs_delta,wall_seconds
10,ERM,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_10_ERM.pt,a864f25cf3bbb9d829cf437dc13b469d5e22b16b7b51dd0fdd84a5cc15bc5cfb,95f1074beb6fc9c80d06a0c71afc44d587326e03e1ed67412aff4f48f274f231,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,PASS,0.0,0.5507259368896484
10,IRMv1,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_10_IRMv1.pt,d381b6725db4cbd157cccbced992113acf09a6511e408a8184bbb8a4bd7cdf91,9592151bc0c643ba60b2e256de21f7428174f3501c07700db7af1827957d2c03,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,b81575fda5d5167aad19faa5e813d23f9caabf7b8469aefe0af10614def047e0,9943823d39ce90736b54dc7f9e5b9a50d371ebda018f5517295d3d576c88a97c,PASS,0.0,0.6448907852172852
11,ERM,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_11_ERM.pt,829da338656b54fb127fa5ebb34a3817781603ba5fee8dc228e0a9db66f7b0db,d15637c76d1a6091dcc26dea09ca8d2af5adbbdc3923f7913b3ff6874e4457bf,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,PASS,0.0,0.540489912033081
11,IRMv1,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_11_IRMv1.pt,bb1609a3d27e7f8610e002a7c66bc3bf59a101b820b30e8f0a0b5319c22f22ed,54ace10ecacfd5ee582aa77f12a3ff8de0a19db2e2b73418d4f33d8503dd6beb,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,f3bbf2138eed4ac1dcd1d22e81ecd0b2cc16a1b96bd36e936cb319a01920183d,f3dadf02c10da01edbe6183c2d39e53aa02c19df11aa89079a7dcf4bbbcad070,PASS,0.0,0.6184520721435547
12,ERM,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_12_ERM.pt,ffeb90d82729a47c498f9b553c669ac011ddcc8ae82533e08e5f8839746e6892,ebdbddef472294a5d2077a86067da571645beb135771aeeee6e9cf1216fbcb17,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,PASS,0.0,0.5423848628997803
12,IRMv1,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_12_IRMv1.pt,537f0fa8ee12b0c709a5880a35182cd03d240fb9d526ea6be37bf12b15ae4d36,c26734ed612841b8f286121937558a310627badeeb9e2dd95ed02648347eb48e,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,9a5e022cc3c0ba2935434700600c14fba2355e0131baf22189079cd78c584cea,fc7e4dbc99e1b4d5d2ad39b315686494cb1e6be0d51ac0386ab63fe8ea8e78a0,PASS,0.0,0.6540570259094238
13,ERM,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_13_ERM.pt,9939fcc894d7e1c20eb5c65f9678941c2cad45332098cf855c137f85f9171c98,10d844cfa548a66b0429a163fa4efd2a111f62e16a50e073289f857bddf3b9f1,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,2d9a2ee3a254d1724b32873d6005328a2e15de093d8ab96f458f978eb21efd99,fd917911df625a97b9ba161f8316b15b89e69f9e2962d7d91beff01b13cbd4c3,PASS,0.0,0.5699708461761475
13,IRMv1,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_13_IRMv1.pt,78ac812ee414e3b78ab6152369d876f56ba32505525e045d10e8d649215ced1b,e2f5b8447bf18162c3d4d0e964db2cdabe1b49134265169e295d807f28a886a6,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,2d9a2ee3a254d1724b32873d6005328a2e15de093d8ab96f458f978eb21efd99,fd917911df625a97b9ba161f8316b15b89e69f9e2962d7d91beff01b13cbd4c3,PASS,0.0,0.6445691585540771
14,ERM,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_14_ERM.pt,b612285a0016a6186bceb90f4dd96648684f496b075ab8ea9d97f7636dd42759,790a4b10f34104da3071fcef32683206a2cdfce5ecf06e3053db0cbf3a57eff4,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,9c43e82e8d04193bef915bab08eb0a5200781b556473b6e7f0f740043f6b45a9,3de6cb0d2a2b8a9c8d781308c2702b4e92951e3d6ef1f6b2c21f1923bd988336,PASS,0.0,0.591123104095459
14,IRMv1,reconstructed,round3_redesign/task3_cmnist_counterfactual_audit/results/checkpoints/seed_14_IRMv1.pt,beb03573ac0346175be965e3beb0ed7ae1d3ce66572f2657c535dd377f18013f,10dd406fe9d06996afc90e72f0ff57f11fd3d454f18da01ee9c1a483ed0f81ed,a1083f49401660ecbb1f1b19e75848ad24612750b34e5255131945ebbbbbe60d,50d435b403bbda00427b9cce38258066eacc40db,9c43e82e8d04193bef915bab08eb0a5200781b556473b6e7f0f740043f6b45a9,3de6cb0d2a2b8a9c8d781308c2702b4e92951e3d6ef1f6b2c21f1923bd988336,PASS,0.0,0.6765880584716797
